Detailed Report Categories over Three Years
Year,Category,SubCategory,# of Reports,Percentage
2020,Imposter Scams,Government Imposters,"178,845",3.79%
2020,Imposter Scams,Romance Scams,"52,593",1.11%
2020,Imposter Scams,Tech Support Scams,"97,765",2.07%
2020,Internet Auction,Internet Auction§,"1,822",0.04%
2020,Internet Services,Broadband Internet Access*,"5,054",0.11%
2020,Internet Services,Broadband Internet Cost*,"4,322",0.09%
2020,Internet Services,Broadband Internet Speed*,"1,695",0.04%
2020,Internet Services,Gaming & Virtual Reality*,"7,257",0.15%
2020,Internet Services,Internet Information Services§,"41,822",0.89%
2020,Internet Services,Online Payment Services,"41,308",0.88%
2020,Internet Services,Social Networking Services,"31,218",0.66%
2020,Internet Services,Website Content‡,"5,403",0.11%
2020,Internet Services,Website Design & Promotion,"4,075",0.09%
2020,Investment Related,"Art, Gems & Rare Coin Investments","1,017",0.02%
2020,Investment Related,Investment Seminars & Advice,"2,533",0.05%
2020,Investment Related,Miscellaneous Investments,"19,429",0.41%
2020,Investment Related,Stocks & Commodity Futures Trading,"1,670",0.04%
2020,Magazines and Books,Books & Magazines,"6,333",0.13%
2020,Miscellaneous Reports,Business Equipment & Facilities Leasing,274,0.01%
2020,Miscellaneous Reports,Children's Products,"1,964",0.04%
2020,Miscellaneous Reports,Food,"3,469",0.07%
2020,Miscellaneous Reports,"Garments, Wool, Leather Goods & Textiles",888,0.02%
2020,Miscellaneous Reports,Immigration Services,"1,109",0.02%
2020,Miscellaneous Reports,Insurance (excl. Medical),"5,893",0.12%
2020,Miscellaneous Reports,Jewelry & Watches,"5,975",0.13%
2020,Miscellaneous Reports,Modeling Agencies\Services§,161,0.00%
2020,Miscellaneous Reports,Personal Care Products,"3,310",0.07%
2020,Miscellaneous Reports,Property & Inheritance Tracers,355,0.01%
2020,Miscellaneous Reports,Real Estate,"19,744",0.42%
2020,Miscellaneous Reports,Tobacco Products,"1,110",0.02%
2020,Miscellaneous Reports,Utilities,"4,026",0.09%
2020,Mortgage Foreclosure Relief and Debt Management,Credit & Debt Counseling,"9,833",0.21%
2020,Mortgage Foreclosure Relief and Debt Management,Mortgage Modification & Foreclosure Relief,894,0.02%
2020,Office Supplies and Services,Office Directory Listings & Ad Space,"3,204",0.07%
2020,Office Supplies and Services,Office Supplies & Services,"2,188",0.05%
2020,Online Shopping and Negative Reviews,Negative Online Reviews*,"1,953",0.04%
2020,Online Shopping and Negative Reviews,Online Shopping,"352,805",7.47%
2020,"Privacy, Data Security, and Cyber Threats",Malware & Computer Exploits†,"70,333",1.49%
2020,"Privacy, Data Security, and Cyber Threats",Privacy & Data Security‡,"4,592",0.10%
2020,"Prizes, Sweepstakes and Lotteries","Prizes, Sweepstakes & Lotteries","116,205",2.46%
2020,Tax Preparers,Tax Preparers,"4,616",0.10%
2020,Telephone and Mobile Services,Connected Non-Wearable Devices*,614,0.01%
2020,Telephone and Mobile Services,"Mobile: Accessories, Devices, and Services§","26,797",0.57%
2020,Telephone and Mobile Services,Mobile: Applications\Other Downloads§,"3,922",0.08%
2020,Telephone and Mobile Services,Mobile: Carrier Rates\Plans§,"10,303",0.22%
2020,Telephone and Mobile Services,Mobile: Unauthorized Charges or Debits§,"3,100",0.07%
2020,Telephone and Mobile Services,Phone Billing‡,"4,091",0.09%
2020,Telephone and Mobile Services,Phone Carrier Switching,964,0.02%
2020,Telephone and Mobile Services,"Phone Devices, Accessories & Services‡","17,419",0.37%
2020,Telephone and Mobile Services,Prepaid Phone Cards,923,0.02%
2020,Telephone and Mobile Services,Telephone: Other§,"17,455",0.37%
2020,Telephone and Mobile Services,Telephone: Unauthorized Charges or Debits§,410,0.01%
2020,Telephone and Mobile Services,Telephone: VoIP Services§,649,0.01%
2020,Television and Electronic Media,Cable & Satellite TV,"37,206",0.79%
2020,Television and Electronic Media,Streaming & Digital Media,"2,119",0.04%
2020,Television and Electronic Media,TV Programming & Ads,"1,786",0.04%
2020,"Travel, Vacations and Timeshare Plans",Timeshare Resales,"2,460",0.05%
2020,"Travel, Vacations and Timeshare Plans",Timeshare Sales,"6,745",0.14%
2020,"Travel, Vacations and Timeshare Plans",Vacation & Travel,"64,265",1.36%
2020,Unspecified Reports,Other Misc.,"434,982",9.21%
2020,Unspecified Reports,Unauthorized Debits or Charges for Unknown Products§,"1,329",0.03%
2020,Unspecified Reports,Unsolicited Email,"111,604",2.36%
2020,Unspecified Reports,Unsolicited Text Messages,"305,241",6.47%
2020,Unspecified Reports,Unwanted Telemarketing Calls,"155,217",3.29%
,,,,
,,,,
"Percentages are based on the total number of Sentinel reports in 2018 (3,115,556), 2019 (3,244,844), and 2020 (4,720,743). Consumers can report more than one category or subcategory.",,,,
* These subcategories are counted as Other report types even though the broader category assigned is Fraud.,,,,
† This subcategory is counted as Fraud even though the broader category assigned is Other.,,,,
"‡ These categories or subcategories were added on October 22, 2020.",,,,
"§ These categories or subcategories were retired on October 22, 2020.  Reports about internet auctions submitted after this date are included in the Online Shopping subcategory.",,,,
,,,,
"Source: Consumer Sentinel Network Data Book 2020, Federal Trade Commission",,,,
